order_id,order_date,ship_date,customer_name,segment,city,state,category,sub_category,product_name,sales,quantity,discount,profit
ORD75,15-Feb-19,20-Mar-20,Unknown Customer,Unknown Segment,Jaipur,Rajasthan,Unknown Category,Chairs,Unknown Product,1000,10,0,-1
ORD406,15-Feb-19,,Unknown Customer,Home Office,Jaipur,Rajasthan,Furniture,Binders,Binder Set,1000,2,0,0
ORD490,15-Feb-19,,Unknown Customer,Home Office,Jaipur,Rajasthan,Unknown Category,Binders,Binder Set,1000,6,0,0
ORD578,15-Feb-19,20-Mar-20,Unknown Customer,Home Office,Jaipur,Rajasthan,Furniture,Phones,Binder Set,2500.5,12,0,500
ORD728,15-Feb-19,20-Jan-19,Unknown Customer,Home Office,Jaipur,Rajasthan,Furniture,Chairs,Office Chair,0,13,0,500
ORD917,15-Feb-19,,Unknown Customer,Home Office,Jaipur,Rajasthan,Technology,Phones,Office Chair,2500.5,8,0,0
ORD1324,15-Feb-19,,Unknown Customer,Consumer,Jaipur,Rajasthan,Unknown Category,Unknown Sub Category,Binder Set,-300,8,0,-1
ORD1381,15-Feb-19,25-Apr-20,Unknown Customer,Consumer,Jaipur,Rajasthan,Unknown Category,Unknown Sub Category,Unknown Product,-300,1,0,0
ORD1768,15-Feb-19,20-Jan-19,Unknown Customer,Home Office,Jaipur,Rajasthan,Unknown Category,Binders,Binder Set,2500.5,13,0,500
ORD2044,15-Feb-19,,Unknown Customer,Unknown Segment,Jaipur,Rajasthan,Technology,Phones,Iphone,2500.5,3,0,0
ORD2201,15-Feb-19,20-Mar-20,Unknown Customer,Unknown Segment,Jaipur,Rajasthan,Furniture,Unknown Sub Category,Iphone,-300,6,0,500
ORD2734,15-Feb-19,25-Apr-20,Unknown Customer,Home Office,Jaipur,Rajasthan,Technology,Chairs,Binder Set,-300,6,0,-200
ORD2785,15-Feb-19,20-Jan-19,Unknown Customer,Home Office,Jaipur,Rajasthan,Unknown Category,Chairs,Office Chair,0,3,0,-1
ORD2813,15-Feb-19,20-Jan-19,Unknown Customer,Home Office,Jaipur,Rajasthan,Technology,Unknown Sub Category,Unknown Product,1000,2,0,500
ORD2999,15-Feb-19,,Unknown Customer,Home Office,Jaipur,Rajasthan,Technology,Unknown Sub Category,Iphone,2500.5,14,0,0
ORD3138,15-Feb-19,20-Mar-20,Unknown Customer,Unknown Segment,Jaipur,Rajasthan,Office Supplies,Binders,Office Chair,-300,12,0,0
ORD3185,15-Feb-19,20-Jan-19,Unknown Customer,Consumer,Jaipur,Rajasthan,Unknown Category,Binders,Iphone,0,10,0,500
ORD3218,15-Feb-19,25-Apr-20,Unknown Customer,Unknown Segment,Jaipur,Rajasthan,Office Supplies,Chairs,Unknown Product,0,5,0,-200
ORD3315,15-Feb-19,20-Mar-20,Unknown Customer,Unknown Segment,Jaipur,Rajasthan,Furniture,Phones,Office Chair,0,8,0,500
ORD3686,15-Feb-19,20-Jan-19,Unknown Customer,Corporate,Jaipur,Rajasthan,Furniture,Phones,Binder Set,1000,4,0,500
ORD3754,15-Feb-19,20-Jan-19,Unknown Customer,Corporate,Jaipur,Rajasthan,Furniture,Binders,Binder Set,0,5,0,0
ORD3955,15-Feb-19,25-Apr-20,Unknown Customer,Home Office,Jaipur,Rajasthan,Unknown Category,Chairs,Unknown Product,-300,8,0,-200
ORD4209,15-Feb-19,25-Apr-20,Unknown Customer,Consumer,Jaipur,Rajasthan,Unknown Category,Unknown Sub Category,Binder Set,1000,12,0,500
ORD4229,15-Feb-19,20-Jan-19,Unknown Customer,Home Office,Jaipur,Rajasthan,Technology,Chairs,Office Chair,2500.5,8,0,500
ORD4459,15-Feb-19,20-Mar-20,Unknown Customer,Unknown Segment,Jaipur,Rajasthan,Unknown Category,Phones,Binder Set,2500.5,12,0,-1
