order_id,order_date,ship_date,customer_name,segment,city,state,category,sub_category,product_name,sales,quantity,discount,profit
ORD0,not_a_date,,,,Jaipur,,Furniture,,iPhone,,13,,
ORD1,,2020/03/20,,Home Office,,RAJASTHAN,Furniture,Phones,iPhone,2500.50,13,1.5,500
ORD2,,,Amit,Corporate,jaipur ,Rajasthan,Furniture,,Office Chair,,6,,
ORD3,not_a_date,20-01-2019,,Home Office,DELHI,RAJASTHAN,Technology,Chairs,Office Chair,,10,,
ORD4,not_a_date,25 Apr 2020,Rohan,Consumer,Delhi,,Furniture,Binders,,error,14,0.1,loss
ORD5,15 Mar 2020,2020/03/20,Rahul Meel,,Delhi,RAJASTHAN,Technology,,,error,-4,1.5,
ORD6,15 Mar 2020,2020/03/20,Amit,,DELHI,RAJASTHAN,Technology,Phones,Binder Set,error,-2,0,
ORD7,15 Mar 2020,,,Consumer,DELHI,,,Binders,,-300,8,0,loss
ORD8,15 Mar 2020,25 Apr 2020,,Home Office,,,Technology,Phones,Office Chair,1000,13,1.5,
ORD9,12-01-2019,2020/03/20,Amit,,jaipur ,,,Phones,,error,1,1.5,500
,12-01-2019,20-01-2019,Amit,Home Office,DELHI,RAJASTHAN,Office Supplies,Chairs,Binder Set,1000,4,1.5,-200
ORD11,,,Amit,Home Office,Delhi,Delhi,Furniture,,iPhone,2500.50,10,1.5,
ORD12,12-01-2019,,,Home Office,jaipur ,Delhi,Office Supplies,Binders,Office Chair,1000,14,1.5,500
ORD13,12-01-2019,20-01-2019,,Corporate,DELHI,Delhi,Office Supplies,Binders,,2500.50,-5,-0.2,500
ORD14,15 Mar 2020,20-01-2019,Amit,Home Office,jaipur ,RAJASTHAN,,Chairs,iPhone,1000,1,1.5,
ORD15,15 Mar 2020,20-01-2019,Amit,Corporate,,Rajasthan,,Chairs,,2500.50,5,-0.2,500
ORD16,not_a_date,2020/03/20,Amit,Home Office,DELHI,Rajasthan,,,Binder Set,error,5,,loss
ORD17,15 Mar 2020,25 Apr 2020,Unknown,Home Office,DELHI,,Technology,Chairs,Binder Set,error,14,0,-200
ORD18,not_a_date,2020/03/20,,Corporate,jaipur ,Delhi,Furniture,Phones,Office Chair,error,8,1.5,-200
ORD19,not_a_date,25 Apr 2020,Unknown,,DELHI,Rajasthan,,Binders,Office Chair,2500.50,-2,,
ORD20,12-01-2019,,Rohan,,jaipur ,Delhi,,Chairs,,-300,9,0.1,
ORD21,15 Mar 2020,25 Apr 2020,,Consumer,jaipur ,RAJASTHAN,Technology,Phones,Office Chair,1000,5,-0.2,
ORD22,12-01-2019,20-01-2019,Amit,Consumer,DELHI,,Furniture,Phones,Binder Set,2500.50,1,1.5,500
ORD23,15 Mar 2020,2020/03/20,Unknown,,Delhi,,Office Supplies,Chairs,,error,5,,
ORD24,12-01-2019,20-01-2019,Amit,Consumer,,,,Binders,iPhone,1000,5,1.5,-200
ORD25,12-01-2019,,Unknown,,jaipur ,,Office Supplies,Chairs,Office Chair,error,8,0,-200
ORD26,12-01-2019,2020/03/20,Amit,Consumer,Delhi,,Technology,Chairs,,-300,0,1.5,
ORD27,,2020/03/20,,,jaipur ,,Furniture,Phones,iPhone,,6,0.1,-200
ORD28,12-01-2019,20-01-2019,Rohan,Corporate,Delhi,,,,,error,12,-0.2,
,2019/02/15,2020/03/20,Amit,Consumer,DELHI,Delhi,Technology,Binders,Office Chair,,8,0.1,loss
ORD30,2019/02/15,20-01-2019,Unknown,Corporate,,Rajasthan,Technology,Binders,iPhone,-300,9,0,
ORD31,2019/02/15,25 Apr 2020,Amit,Corporate,Delhi,Delhi,Office Supplies,Chairs,Binder Set,,-2,1.5,loss
ORD32,not_a_date,,,Corporate,Jaipur,Delhi,Technology,,Office Chair,error,6,1.5,500
ORD33,12-01-2019,20-01-2019,,Corporate,jaipur ,Rajasthan,Technology,Binders,Binder Set,-300,5,0,500
ORD34,2019/02/15,,,Corporate,Delhi,Delhi,Furniture,Phones,,1000,-5,1.5,-200
ORD35,not_a_date,2020/03/20,Rohan,Home Office,,,Furniture,Phones,Binder Set,,13,1.5,loss
ORD36,2019/02/15,,,Corporate,,Delhi,Furniture,,iPhone,,11,1.5,
ORD37,15 Mar 2020,,Amit,Consumer,,,Technology,,iPhone,2500.50,1,,-200
ORD38,,,,Corporate,Delhi,Rajasthan,,Phones,Binder Set,error,10,,-200
ORD39,12-01-2019,2020/03/20,Amit,Consumer,Delhi,Delhi,Furniture,Chairs,Office Chair,error,5,-0.2,
ORD40,,25 Apr 2020,Amit,Corporate,DELHI,RAJASTHAN,,Phones,iPhone,,12,0,loss
ORD41,,25 Apr 2020,Rohan,Consumer,Jaipur,Delhi,Technology,Chairs,Binder Set,,-3,0.1,
,15 Mar 2020,25 Apr 2020,,Corporate,Delhi,Rajasthan,Furniture,Binders,Binder Set,,6,0,500
ORD43,15 Mar 2020,20-01-2019,,,DELHI,RAJASTHAN,,Binders,Binder Set,error,12,1.5,-200
ORD44,15 Mar 2020,20-01-2019,,Home Office,jaipur ,,Furniture,Phones,,2500.50,1,1.5,-200
ORD45,not_a_date,2020/03/20,Unknown,Consumer,Jaipur,RAJASTHAN,Furniture,Chairs,Office Chair,,8,0,500
